Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,6647,1581,8399,10358,1375,2066,0,0,0
UFPelH1,1,18216,3861,2660,5119,12772,2228,0,0,0
UFPelH2,2,2279,5119,4007,791,3795,8128,18183,3481,352
UFPelH3,3,1010,32,4058,4890,919,7308,16675,3823,524
UFSMH4,4,6781,354,2996,2106,5305,14318,4754,0,0
UFSMH5,5,19543,759,1086,1140,2624,11564,13284,3050,0
UFSMH6,6,6119,790,2789,3446,10010,8464,0,0,0
UFSMH7,7,17907,6765,2092,11120,10342,2379,1445,0,0
IFSulH8,8,16257,1921,3017,1224,12382,4438,3165,0,0
IFSulH9,9,2733,4362,2603,1892,991,14304,9018,4001,0
IFSulH10,10,4627,4205,5407,4097,17232,4836,0,0,0
IFSulH11,11,13465,591,4096,10653,6525,2841,0,0,0
BurstH12,12,0,0,0,0,0,0,0,0,0
BurstH13,13,0,0,0,0,0,0,0,0,0
BurstH14,14,0,0,0,0,0,0,0,0,0
BurstH15,15,40229,0,0,0,0,0,0,0,0
