User,User,Id,ExecutionTime
user00,0,40229
user01,1,31479
user02,2,37777
user03,3,40239
user04,4,36614
user05,5,39171
user06,6,46135
user07,7,36641
user08,8,33572
user09,9,40993
user10,10,53050
user11,11,39904
user12,12,45856
user13,13,36143
user14,14,42404
user15,15,36302
user16,16,31618
user17,17,32469
user18,18,33700
user19,19,27206
user20,20,27258
user21,21,32465
user22,22,29195
user23,23,25451
user24,24,34939
user25,25,25709
user26,26,31206
user27,27,23779
user28,28,31522
user29,29,33915
user30,30,28946
user31,31,32662
user32,32,12238
user33,33,14245
user34,34,12109
user35,35,12910
user36,36,13490
user37,37,13588
user38,38,13939
user39,39,14400
user40,40,12868
user41,41,13285
user42,42,14547
user43,43,10759
user44,44,13597
user45,45,11930
user46,46,11750
user47,47,13764
user48,48,0
