Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,0,0,0,0,0,1000,11113,0,1794
UFPelH1,1,4505,7129,10057,1270,8656,3605,0,54,1734
UFPelH2,2,0,2399,2000,5602,0,2724,7857,5904,861
UFPelH3,3,0,3781,15270,3115,4500,618,2,0,1198
UFSMH4,4,0,1000,0,2887,4008,2677,4128,20135,1131
UFSMH5,5,2828,6867,6723,7697,1624,4792,2683,257,944
UFSMH6,6,1461,5000,1928,1589,3745,4222,6186,8521,1425
UFSMH7,7,2271,0,2042,3618,10663,4739,6061,1013,596
IFSulH8,8,6208,6385,90,10410,3582,3228,1075,378,1117
IFSulH9,9,402,0,5282,2066,1028,5981,8081,9343,661
IFSulH10,10,9769,2000,0,10595,3055,2505,1720,1269,1354
IFSulH11,11,5544,6640,5090,4459,4454,1246,4540,1573,298
BurstH12,12,302,3954,28314,0,0,0,0,0,0
BurstH13,13,3412,34598,0,0,0,0,0,0,0
BurstH14,14,0,0,0,0,0,0,0,0,0
BurstH15,15,34570,0,0,0,0,0,0,0,0
