User,UserId,Host,HostId,nbInst
user00,0,UFPel,0,33600166
user01,1,UFSM,4,33600166
user02,2,IFSul,8,33600076
user03,3,UFPel,0,33600166
user04,4,UFSM,4,33600166
user05,5,IFSul,8,33600076
user06,6,UFPel,0,33600166
user07,7,UFSM,4,33600166
user08,8,IFSul,8,33600076
user09,9,UFPel,0,33600166
user10,10,UFSM,4,33600166
user11,11,IFSul,8,33600076
user12,12,UFPel,0,33600166
user13,13,UFSM,4,33600166
user14,14,IFSul,8,33600076
user15,15,UFPel,0,33600166
user16,16,UFSM,4,16800461
user17,17,IFSul,8,16800612
user18,18,UFPel,0,16800497
user19,19,UFSM,4,16800461
user20,20,IFSul,8,16800612
user21,21,UFPel,0,16800497
user22,22,UFSM,4,16800461
user23,23,IFSul,8,16800612
user24,24,UFPel,0,16800497
user25,25,UFSM,4,16800461
user26,26,IFSul,8,16800612
user27,27,UFPel,0,16800497
user28,28,UFSM,4,16800461
user29,29,IFSul,8,16800612
user30,30,UFPel,0,16800497
user31,31,UFSM,4,16800461
user32,32,IFSul,8,2000424
user33,33,UFPel,0,2000328
user34,34,UFSM,4,2000328
user35,35,IFSul,8,2000424
user36,36,UFPel,0,2000328
user37,37,UFSM,4,2000328
user38,38,IFSul,8,2000424
user39,39,UFPel,0,2000328
user40,40,UFSM,4,2000328
user41,41,IFSul,8,2000424
user42,42,UFPel,0,2000328
user43,43,UFSM,4,2000328
user44,44,IFSul,8,2000424
user45,45,UFPel,0,2000328
user46,46,UFSM,4,2000328
user47,47,IFSul,8,2000424
