Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,234183,4417,3279,3833,6576,2562,4128,788,5770
UFPelH1,1,340807,27265,2925,0,0,1191,1188,3303,3776
UFPelH2,2,0,0,0,0,0,0,0,8769,6734
UFPelH3,3,365112,4890,4921,4079,895,2107,436,2461,2694
UFSMH4,4,0,0,0,0,0,17898,4609,3431,8980
UFSMH5,5,0,0,323982,13525,6334,1670,3446,4413,8021
UFSMH6,6,0,0,245134,76403,2821,134,1429,3007,7714
UFSMH7,7,362095,11869,923,0,1117,969,2049,121,4279
IFSulH8,8,0,0,0,0,0,2389,5237,1756,6723
IFSulH9,9,345552,12405,1019,2924,204,2055,1090,1201,5827
IFSulH10,10,305823,4124,2507,2399,857,200,387,2,5378
IFSulH11,11,372961,9762,5629,7741,2004,636,3452,1095,4951
BurstH12,12,0,0,0,0,0,0,0,0,662708
BurstH13,13,0,0,0,0,0,0,0,0,785599
BurstH14,14,0,0,0,0,0,0,0,0,763375
BurstH15,15,0,0,0,0,0,0,0,0,699594
