Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,0,0,0,376614,18203,3491,60,4,18210
UFPelH1,1,0,0,0,0,0,0,34434,7287,18431
UFPelH2,2,0,0,0,0,0,0,0,2,25671
UFPelH3,3,0,0,0,0,0,330790,4434,5064,18377
UFSMH4,4,366716,7664,2474,6989,6243,3245,692,1249,11890
UFSMH5,5,0,0,0,0,0,0,0,5217,14018
UFSMH6,6,0,0,0,0,0,36752,5881,721,13501
UFSMH7,7,0,0,0,0,444807,11994,5793,2507,11870
IFSulH8,8,0,0,451177,70560,2142,3459,4311,13017,25918
IFSulH9,9,0,0,499279,17171,3084,5370,5223,7706,25865
IFSulH10,10,0,0,0,0,0,0,0,2,26765
IFSulH11,11,396584,21188,6436,8891,7310,7674,2054,2,10584
BurstH12,12,0,0,0,0,0,0,0,0,1170824
BurstH13,13,0,0,0,0,0,0,0,0,821639
BurstH14,14,0,0,0,0,0,0,0,0,1168453
BurstH15,15,0,0,0,0,0,0,0,0,939536
