Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,0,0,0,0,0,0,0,0,1633978
UFPelH1,1,0,0,0,0,0,0,0,0,284883
UFPelH2,2,0,0,0,0,0,0,0,0,1075004
UFPelH3,3,0,0,0,0,0,0,0,0,1410987
UFSMH4,4,0,0,0,0,2,0,0,0,1217046
UFSMH5,5,0,0,0,0,0,0,2,0,1200379
UFSMH6,6,0,0,0,0,0,0,0,0,306643
UFSMH7,7,0,0,0,0,0,2,0,0,657635
IFSulH8,8,0,0,0,0,0,0,0,2,614411
IFSulH9,9,0,0,0,0,0,0,0,2,437398
IFSulH10,10,0,0,0,0,0,0,0,2,437698
IFSulH11,11,1174,3000,2378,55,1498,264,0,2,584216
BurstH12,12,0,0,0,0,0,0,0,0,0
BurstH13,13,0,0,0,0,0,0,0,0,0
BurstH14,14,0,0,0,0,0,0,0,0,0
BurstH15,15,0,0,0,0,0,0,0,0,0
