Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,5000,0,0,0,0,0,0,0,0
UFPelH1,1,32825,0,0,0,0,0,0,0,0
UFPelH2,2,2287,5000,15516,484,0,0,0,0,0
UFPelH3,3,2246,0,21825,10000,0,0,0,0,0
UFSMH4,4,4997,14032,8484,0,0,0,0,0,0
UFSMH5,5,12487,17750,0,0,0,0,0,0,0
UFSMH6,6,11266,11250,0,0,0,0,0,0,0
UFSMH7,7,12737,16500,0,0,0,0,0,0,0
IFSulH8,8,17000,0,0,0,0,0,0,0,0
IFSulH9,9,15521,15059,3245,0,0,0,0,0,0
IFSulH10,10,15245,2755,0,0,0,0,0,0,0
IFSulH11,11,4660,22093,1484,0,0,0,0,0,0
BurstH12,12,0,0,0,0,0,0,0,0,0
BurstH13,13,0,0,0,0,0,0,0,0,0
BurstH14,14,0,0,0,0,0,0,0,0,0
BurstH15,15,0,0,0,0,0,0,0,0,0
