Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,0,0,0,0,0,0,2,0,1866679
UFPelH1,1,0,0,0,0,2,0,0,0,1800002
UFPelH2,2,0,0,0,0,2,0,0,0,349930
UFPelH3,3,0,0,0,0,1357930,24528,35072,14190,371551
UFSMH4,4,0,0,0,0,2,0,0,0,1828344
UFSMH5,5,0,0,0,0,2,0,0,0,1866666
UFSMH6,6,0,0,0,0,2,0,0,0,502170
UFSMH7,7,0,0,0,0,0,0,0,2,1841031
IFSulH8,8,0,0,0,0,0,0,2,0,1592808
IFSulH9,9,0,0,0,0,0,2,0,0,399824
IFSulH10,10,0,0,0,0,2,0,0,0,1850010
IFSulH11,11,0,0,0,0,0,0,0,2,1581142
BurstH12,12,0,0,0,0,0,0,0,0,0
BurstH13,13,0,0,0,0,0,0,0,0,0
BurstH14,14,0,0,0,0,0,0,0,0,0
BurstH15,15,0,0,0,0,0,0,0,0,0
