Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,25166,4610,2572,1537,190,1397,592,3291,99782
UFPelH1,1,23284,6861,1074,848,2644,1137,1313,2,102619
UFPelH2,2,15723,3963,321,487,2870,1873,362,16,131853
UFPelH3,3,28139,3255,5267,315,566,4066,1901,931,112028
UFSMH4,4,2148,3900,334,4562,74,5495,1018,91,142342
UFSMH5,5,34527,3213,6542,4988,2085,663,340,359,98245
UFSMH6,6,37530,8576,1029,2522,654,217,364,1997,103027
UFSMH7,7,59241,1007,34,4250,493,37,3114,3528,87260
IFSulH8,8,10567,250,4429,52,3613,428,722,856,128426
IFSulH9,9,4379,4490,4931,320,2988,1179,387,37,123475
IFSulH10,10,55419,20203,1969,165,98,5168,7771,1149,59401
IFSulH11,11,23491,4233,68,270,1123,4091,286,988,109636
BurstH12,12,0,0,0,0,0,0,0,0,0
BurstH13,13,0,0,0,0,0,0,0,0,0
BurstH14,14,0,0,0,0,0,0,0,0,0
BurstH15,15,0,0,0,0,0,0,0,0,0
