Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,42426,9710,701,2215,8869,9599,2437,3536,6339
UFPelH1,1,35048,15925,3552,1089,261,769,6214,8452,20470
UFPelH2,2,2000,36,3381,0,1567,4289,920,863,78760
UFPelH3,3,8251,211,257,0,289,4686,3972,2477,68256
UFSMH4,4,4592,4807,0,249,841,2900,2757,747,51131
UFSMH5,5,2000,18019,22,471,576,1823,0,1077,62055
UFSMH6,6,18025,4378,0,799,1354,2762,10008,8326,21350
UFSMH7,7,8939,471,949,6927,676,1613,5666,11420,30363
IFSulH8,8,17025,407,233,1257,3126,72,427,3193,41218
IFSulH9,9,1351,1457,3061,1000,981,1125,4037,1100,54654
IFSulH10,10,2000,4434,4353,0,5057,744,0,1113,51608
IFSulH11,11,8285,9757,3304,3544,1289,2641,10037,11244,10936
BurstH12,12,0,0,0,0,0,0,0,0,0
BurstH13,13,0,0,0,0,0,0,0,0,0
BurstH14,14,0,0,0,0,0,0,0,0,0
BurstH15,15,0,0,0,0,0,0,0,0,0
