Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,0,1477,3851,5379,7614,6705,797,2495,3720
UFPelH1,1,5510,2184,1986,10363,656,955,9098,3531,3265
UFPelH2,2,0,18916,5855,2292,4171,9243,9361,3807,3596
UFPelH3,3,0,0,475,5938,16032,6236,39,570,4048
UFSMH4,4,4219,9916,7316,3355,194,2593,233,4331,1371
UFSMH5,5,0,17524,1137,2059,5455,11434,9067,1443,2396
UFSMH6,6,0,1000,922,2081,1017,5274,11185,10225,2746
UFSMH7,7,20004,2852,4289,8574,5365,1380,2357,4557,2137
IFSulH8,8,22070,2368,1000,5795,9806,4240,1640,1789,3143
IFSulH9,9,4496,3453,6155,7356,2421,648,858,594,2698
IFSulH10,10,0,0,0,0,14289,11967,3271,5468,2332
IFSulH11,11,7735,3560,10004,2359,4932,1262,734,2651,781
BurstH12,12,0,10,5720,14955,6617,23549,0,0,0
BurstH13,13,0,11385,3940,8989,3054,12852,12295,0,0
BurstH14,14,0,10,2000,13990,5550,8031,2998,26035,0
BurstH15,15,0,2,0,0,7799,6140,8296,3290,38505
