Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,0,0,0,0,0,0,0,2,1284999
UFPelH1,1,0,0,0,0,0,0,0,2,102753
UFPelH2,2,0,0,0,0,0,0,0,2,1040450
UFPelH3,3,101337,7138,3038,2299,1111,1112,0,1755,0
UFSMH4,4,0,0,0,0,0,0,0,2,125317
UFSMH5,5,0,0,0,0,0,0,0,841415,110575
UFSMH6,6,0,0,0,0,0,0,0,2,1254167
UFSMH7,7,170162,18132,3996,1971,991,0,0,2,1998
IFSulH8,8,0,0,0,0,0,2,0,0,194759
IFSulH9,9,0,0,0,0,0,0,0,2,102298
IFSulH10,10,0,0,0,0,0,0,2,0,216242
IFSulH11,11,0,0,0,0,0,0,0,2,100798
BurstH12,12,0,0,0,0,0,0,0,0,1850000
BurstH13,13,0,0,0,0,0,0,0,0,1849990
BurstH14,14,0,0,0,0,0,0,0,0,1825000
BurstH15,15,0,0,0,0,0,0,0,0,1849980
