Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,371265,40034,6593,6000,9045,976,0,0,722254
UFPelH1,1,381495,21000,6427,1019,0,0,0,0,759351
UFPelH2,2,0,2000,0,0,6403,0,0,0,1176176
UFPelH3,3,236842,4176,2538,462,0,0,0,0,934158
UFSMH4,4,0,662,1338,0,0,0,0,0,1204387
UFSMH5,5,368267,11494,4753,6264,0,0,5364,5951,778753
UFSMH6,6,380251,15216,12456,11636,364,0,1000,1116,783686
UFSMH7,7,464292,23012,11494,569,1706,862,0,6020,697432
IFSulH8,8,1000,1000,0,0,4350,1250,0,0,1069807
IFSulH9,9,125990,4000,2000,0,2434,709,656,0,940618
IFSulH10,10,439283,43451,31103,12930,10480,4864,4644,0,508956
IFSulH11,11,223705,14000,0,1000,0,0,0,0,833102
BurstH12,12,0,0,0,0,0,0,0,0,0
BurstH13,13,0,0,0,0,0,0,0,0,0
BurstH14,14,0,0,0,0,0,0,0,0,0
BurstH15,15,0,0,0,0,0,0,0,0,0
