Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,0,0,0,0,0,10,0,0,62990
UFPelH1,1,0,0,0,0,0,0,2,0,81089
UFPelH2,2,8165,1000,237,364,5210,506,6442,2517,54150
UFPelH3,3,7171,2000,0,0,182,0,1202,0,76207
UFSMH4,4,0,0,294,0,852,2311,2054,7445,34410
UFSMH5,5,6873,4855,3481,1314,1581,3556,4253,5228,25997
UFSMH6,6,0,0,0,2,2421,3407,876,6952,66820
UFSMH7,7,0,0,1693,1000,8575,10153,5128,13403,16186
IFSulH8,8,1271,1002,0,1815,15046,6868,8258,5406,5546
IFSulH9,9,5333,5000,838,3888,8447,3663,1808,2209,5616
IFSulH10,10,9385,1000,187,0,19792,4788,1581,18,7461
IFSulH11,11,2576,1000,5455,1069,0,6123,10789,9402,3964
BurstH12,12,0,0,0,0,0,0,0,0,0
BurstH13,13,0,0,0,0,0,0,0,0,0
BurstH14,14,0,0,0,0,0,0,0,0,0
BurstH15,15,0,0,0,0,0,0,0,0,0
