Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,0,0,0,0,3639,5774,680,0,1196
UFPelH1,1,0,0,0,0,1565,3778,3230,970,2996
UFPelH2,2,0,1000,3024,1267,7145,7921,992,2224,2375
UFPelH3,3,13766,4158,605,6166,3514,5171,4303,598,898
UFSMH4,4,8439,12000,0,0,5115,0,0,1409,685
UFSMH5,5,1986,6000,2061,1534,7491,6329,3500,285,894
UFSMH6,6,0,1000,5184,1889,7994,1326,724,10189,342
UFSMH7,7,1777,522,0,7893,10210,598,5574,2304,202
IFSulH8,8,2273,6310,7818,3784,4004,1252,1010,0,298
IFSulH9,9,2445,14832,4902,1369,3005,0,0,526,670
IFSulH10,10,442,94,0,0,26050,968,1335,165,598
IFSulH11,11,8318,1950,1051,3832,1634,4418,7394,1757,298
BurstH12,12,35587,1592,0,0,0,0,0,0,0
BurstH13,13,2243,27754,0,0,0,0,0,0,0
BurstH14,14,387,21989,10997,0,0,0,0,0,0
BurstH15,15,36179,2000,0,0,0,0,0,0,0
