User,UserId,Host,HostId,nbInst
user00,0,UFPel,0,33600152
user01,1,UFSM,4,33600098
user02,2,IFSul,8,33600228
user03,3,UFPel,0,33600152
user04,4,UFSM,4,33600098
user05,5,IFSul,8,33600228
user06,6,UFPel,0,33600152
user07,7,UFSM,4,33600098
user08,8,IFSul,8,33600228
user09,9,UFPel,0,33600152
user10,10,UFSM,4,33600098
user11,11,IFSul,8,33600228
user12,12,UFPel,0,33600152
user13,13,UFSM,4,33600098
user14,14,IFSul,8,33600228
user15,15,UFPel,0,33600152
user16,16,UFSM,4,16800251
user17,17,IFSul,8,16800315
user18,18,UFPel,0,16800287
user19,19,UFSM,4,16800251
user20,20,IFSul,8,16800315
user21,21,UFPel,0,16800287
user22,22,UFSM,4,16800251
user23,23,IFSul,8,16800315
user24,24,UFPel,0,16800287
user25,25,UFSM,4,16800251
user26,26,IFSul,8,16800315
user27,27,UFPel,0,16800287
user28,28,UFSM,4,16800251
user29,29,IFSul,8,16800315
user30,30,UFPel,0,16800287
user31,31,UFSM,4,16800251
user32,32,IFSul,8,2000244
user33,33,UFPel,0,2000160
user34,34,UFSM,4,2000160
user35,35,IFSul,8,2000244
user36,36,UFPel,0,2000160
user37,37,UFSM,4,2000160
user38,38,IFSul,8,2000244
user39,39,UFPel,0,2000160
user40,40,UFSM,4,2000160
user41,41,IFSul,8,2000244
user42,42,UFPel,0,2000160
user43,43,UFSM,4,2000160
user44,44,IFSul,8,2000244
user45,45,UFPel,0,2000160
user46,46,UFSM,4,2000160
user47,47,IFSul,8,2000244
