Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,8708,1789,12674,7042,954,2066,0,0,0
UFPelH1,1,10064,9780,678,521,4802,17757,1915,0,0
UFPelH2,2,198,4276,4650,463,3385,5256,22505,3134,650
UFPelH3,3,7023,221,3847,4631,545,5262,18954,4910,1124
UFSMH4,4,6613,14,1745,2872,564,11686,14233,722,0
UFSMH5,5,17553,257,656,4708,877,9932,14315,1761,0
UFSMH6,6,12244,2610,2092,7209,6544,6750,0,0,0
UFSMH7,7,17467,5687,5148,8274,12300,1738,1445,0,0
IFSulH8,8,12676,1650,3602,1277,7172,11152,3568,0,0
IFSulH9,9,2773,4653,2113,2739,258,14510,9640,3303,0
IFSulH10,10,4345,4946,4700,2008,21433,2665,0,0,0
IFSulH11,11,6447,3986,3166,10860,5071,2814,0,0,0
BurstH12,12,0,0,0,0,0,0,0,0,0
BurstH13,13,0,0,0,0,0,0,0,0,0
BurstH14,14,0,0,0,0,0,0,0,0,0
BurstH15,15,0,0,0,0,0,0,0,0,0
