Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,0,128110,17625,13574,9010,7842,10411,3051,27662
UFPelH1,1,0,0,0,0,0,2,0,0,53250
UFPelH2,2,0,0,0,0,0,0,0,2,251426
UFPelH3,3,0,0,0,0,0,0,0,10,255766
UFSMH4,4,0,10667,8099,6556,11104,9266,4059,7136,28741
UFSMH5,5,0,0,0,0,32568,1250,0,0,141605
UFSMH6,6,0,0,0,0,0,0,0,2,82917
UFSMH7,7,0,0,0,0,16630,10253,1411,10,55865
IFSulH8,8,0,0,0,0,0,0,0,2,211179
IFSulH9,9,0,0,60310,23081,12708,3863,1696,0,4937
IFSulH10,10,0,0,0,0,0,0,0,2,14995
IFSulH11,11,159374,12707,16401,4984,2252,5494,1908,3782,8983
BurstH12,12,0,0,0,0,2,0,8,0,220504
BurstH13,13,0,0,0,2,0,0,8,0,221546
BurstH14,14,0,0,0,0,0,2,0,0,196511
BurstH15,15,0,0,0,0,2,0,0,0,214883
