Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,0,0,0,0,3771,2197,491,7137,125813
UFPelH1,1,0,0,0,0,0,0,0,2,50444
UFPelH2,2,0,0,0,0,0,0,2,0,112776
UFPelH3,3,41434,811,1588,0,3926,3485,2533,8443,79189
UFSMH4,4,0,0,8411,4000,9068,602,35,1362,76043
UFSMH5,5,0,0,6435,2000,10165,1335,0,414,77172
UFSMH6,6,0,0,0,0,0,0,7,3761,77998
UFSMH7,7,0,0,0,0,0,2500,6321,3773,75663
IFSulH8,8,0,0,0,0,0,0,0,2,85198
IFSulH9,9,0,0,0,0,0,0,0,2,134396
IFSulH10,10,0,0,0,0,0,0,0,2,132312
IFSulH11,11,1065,6775,2931,5125,7808,2080,4933,4098,94468
BurstH12,12,0,0,0,0,0,0,0,0,0
BurstH13,13,0,0,0,0,0,0,0,0,0
BurstH14,14,0,0,0,0,0,0,0,0,0
BurstH15,15,0,0,0,0,0,0,0,0,0
