Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,49241,3620,1538,25,21,3753,1924,449,224574
UFPelH1,1,77833,1828,8209,159,17,853,0,288,215079
UFPelH2,2,0,13596,4765,676,84,151,0,0,282994
UFPelH3,3,26746,0,2836,1000,216,6508,1068,0,252296
UFSMH4,4,2000,0,2523,2000,0,893,2338,1755,316383
UFSMH5,5,88074,17991,1508,0,3725,0,5680,3339,203052
UFSMH6,6,75521,5342,4058,19,62,0,1399,760,235208
UFSMH7,7,111897,16586,520,0,153,2025,3339,956,191416
IFSulH8,8,0,8226,1987,13,5125,134,320,0,276473
IFSulH9,9,1935,4337,2221,2837,4270,102,608,0,267755
IFSulH10,10,99964,28456,12246,0,0,2414,2416,3825,144957
IFSulH11,11,39998,1481,3115,866,826,16,181,0,236569
BurstH12,12,0,0,0,0,0,0,0,0,0
BurstH13,13,0,0,0,0,0,0,0,0,0
BurstH14,14,0,0,0,0,0,0,0,0,0
BurstH15,15,0,0,0,0,0,0,0,0,0
