Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,147478,17900,2351,2292,644,98,303,1409,2229
UFPelH1,1,0,0,0,0,2,0,0,0,453057
UFPelH2,2,0,0,0,0,0,0,0,2,43437
UFPelH3,3,118713,11529,4456,2661,1000,2135,422,0,0
UFSMH4,4,0,0,186180,12060,2829,1498,389,976,5268
UFSMH5,5,0,0,0,0,0,0,2,0,21921
UFSMH6,6,0,0,0,0,0,0,0,2,162404
UFSMH7,7,0,0,0,0,0,0,0,2,159626
IFSulH8,8,0,0,0,0,0,0,0,2,24467
IFSulH9,9,0,0,0,0,0,0,0,2,92378
IFSulH10,10,0,0,0,0,0,0,0,2,206543
IFSulH11,11,0,98101,21964,4964,2036,13013,8125,1829,15884
BurstH12,12,0,0,0,0,0,0,0,0,1242330
BurstH13,13,0,0,0,0,0,0,0,0,1225663
BurstH14,14,0,0,0,0,0,0,0,0,1238997
BurstH15,15,0,0,0,0,0,0,0,0,1185613
