Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,32895,1000,6255,0,3710,4672,9990,9058,23358
UFPelH1,1,0,0,97645,7524,13238,2,7482,7720,29214
UFPelH2,2,0,0,0,0,0,0,2,0,48132
UFPelH3,3,24989,28526,8332,7378,2973,4522,484,4291,8205
UFSMH4,4,2275,4186,2265,3161,0,2,238,1482,7148
UFSMH5,5,0,0,0,0,2,0,0,0,20508
UFSMH6,6,0,0,0,0,0,4755,4173,7651,74345
UFSMH7,7,0,0,0,44424,3023,22059,53,3693,12677
IFSulH8,8,0,0,0,0,0,0,0,2,25203
IFSulH9,9,0,0,0,0,0,0,0,2,23265
IFSulH10,10,0,8836,2465,4465,1544,0,4,2,6901
IFSulH11,11,25507,24835,5570,1467,27,852,1556,239,2005
BurstH12,12,0,0,0,0,0,2,0,0,147000
BurstH13,13,0,0,0,0,0,0,2,0,161823
BurstH14,14,0,0,0,0,2,0,0,0,115807
BurstH15,15,0,0,0,0,0,2,0,0,145692
