Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,0,0,17218,1000,14933,10316,8284,1254,3576
UFPelH1,1,0,6918,4220,2380,4372,8185,11235,4282,3962
UFPelH2,2,0,0,23782,1288,12166,6170,2298,3929,4728
UFPelH3,3,6821,7889,3874,4004,6117,7754,4404,978,4488
UFSMH4,4,18787,15709,7068,4056,1489,14,4512,2262,2221
UFSMH5,5,0,0,594,11025,9819,3788,3545,2886,2992
UFSMH6,6,17700,0,982,3106,1101,618,8018,16799,3054
UFSMH7,7,1575,4503,5450,6566,7305,2900,2997,1830,1552
IFSulH8,8,3517,4002,1555,3330,9001,2264,2277,876,2988
IFSulH9,9,14704,4560,7813,2579,2638,717,30,2593,3296
IFSulH10,10,0,0,5120,4040,8022,11894,3559,1775,3520
IFSulH11,11,18180,1681,5945,5895,5361,5204,327,1863,1615
BurstH12,12,10,26841,12003,2793,21087,0,0,0,0
BurstH13,13,0,2,0,8,0,20880,17455,3856,52459
BurstH14,14,2,0,8,0,19058,596,8047,9645,44426
BurstH15,15,0,2,0,8,21075,15604,3684,8482,44471
