Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,0,0,0,0,0,0,0,0,2200020
UFPelH1,1,0,0,0,0,0,0,0,0,149969
UFPelH2,2,0,0,0,0,0,0,0,0,2200010
UFPelH3,3,0,0,0,0,0,0,0,0,2133344
UFSMH4,4,0,0,0,0,0,0,0,0,2150010
UFSMH5,5,0,0,0,0,0,0,0,0,2200020
UFSMH6,6,0,0,0,0,0,0,0,0,399922
UFSMH7,7,0,0,0,0,0,0,0,0,2104358
IFSulH8,8,0,0,0,0,0,0,0,0,2200026
IFSulH9,9,0,0,0,0,0,0,0,0,520291
IFSulH10,10,0,0,0,0,0,0,0,0,899928
IFSulH11,11,0,0,0,0,0,0,0,0,2103345
BurstH12,12,0,0,0,0,0,0,0,0,0
BurstH13,13,0,0,0,0,0,0,0,0,0
BurstH14,14,0,0,0,0,0,0,0,0,0
BurstH15,15,0,0,0,0,0,0,0,0,0
