User,UserId,Host,HostId,nbInst
user00,0,UFPel,0,14697018
user00,0,UFPel,1,7466
user00,0,UFPel,2,18895516
user01,1,UFSM,4,1998800
user01,1,UFSM,5,31596722
user01,1,UFSM,6,4478
user02,2,IFSul,8,27988958
user02,2,IFSul,9,4152
user02,2,IFSul,10,11332
user02,2,IFSul,11,5595582
user03,3,UFPel,0,16689220
user03,3,UFPel,1,19466
user03,3,UFPel,2,16891314
user04,4,UFSM,5,33595814
user04,4,UFSM,6,4186
user05,5,IFSul,8,22374314
user05,5,IFSul,9,28118
user05,5,IFSul,10,7152
user05,5,IFSul,11,11190437
user06,6,UFPel,0,31500000
user06,6,UFPel,1,1198
user06,6,UFPel,2,2098802
user07,7,UFSM,4,9200000
user07,7,UFSM,5,14996408
user07,7,UFSM,6,8082
user07,7,UFSM,7,9395574
user08,8,IFSul,8,33590408
user08,8,IFSul,9,9592
user09,9,UFPel,0,16495506
user09,9,UFPel,1,4494
user09,9,UFPel,2,4100000
user09,9,UFPel,3,13000000
user10,10,UFSM,4,11190416
user10,10,UFSM,5,13095208
user10,10,UFSM,6,24862
user10,10,UFSM,7,9289522
user11,11,IFSul,8,27664064
user11,11,IFSul,9,34776
user11,11,IFSul,10,11652
user11,11,IFSul,11,5889551
user12,12,UFPel,1,10486
user12,12,UFPel,2,33589514
user13,13,UFSM,4,9089212
user13,13,UFSM,5,7700000
user13,13,UFSM,6,28776
user13,13,UFSM,7,16782078
user14,14,IFSul,8,33522066
user14,14,IFSul,9,18568
user14,14,IFSul,10,59366
user15,15,UFPel,0,18800000
user15,15,UFPel,1,10800
user15,15,UFPel,2,14789200
user16,16,UFSM,4,2200000
user16,16,UFSM,5,5700000
user16,16,UFSM,6,29372
user16,16,UFSM,7,25670740
user17,17,IFSul,8,16749020
user17,17,IFSul,9,91444
user17,17,IFSul,10,10478
user17,17,IFSul,11,16749132
user18,18,UFPel,0,5589510
user18,18,UFPel,1,19480
user18,18,UFPel,2,18791010
user18,18,UFPel,3,9200000
user19,19,UFSM,4,9600000
user19,19,UFSM,5,16500000
user19,19,UFSM,6,11990
user19,19,UFSM,7,7488038
user20,20,IFSul,8,33474122
user20,20,IFSul,9,53614
user20,20,IFSul,10,72264
user21,21,UFPel,0,9200000
user21,21,UFPel,1,18300
user21,21,UFPel,2,11481700
user21,21,UFPel,3,12900000
user22,22,UFSM,4,5900000
user22,22,UFSM,5,9300000
user22,22,UFSM,6,28492
user22,22,UFSM,7,18371548
user23,23,IFSul,8,16726572
user23,23,IFSul,9,37438
user23,23,IFSul,10,109772
user23,23,IFSul,11,16726342
user24,24,UFPel,0,23981114
user24,24,UFPel,1,23682
user24,24,UFPel,2,9595204
user25,25,UFSM,4,12781114
user25,25,UFSM,5,20785010
user25,25,UFSM,6,33876
user26,26,IFSul,8,33485596
user26,26,IFSul,9,41880
user26,26,IFSul,10,72524
user27,27,UFPel,0,16886510
user27,27,UFPel,1,13490
user27,27,UFPel,2,16700000
user28,28,UFSM,4,24491006
user28,28,UFSM,5,9100000
user28,28,UFSM,6,8994
user29,29,IFSul,8,29584848
user29,29,IFSul,9,116970
user29,29,IFSul,10,26970
user29,29,IFSul,11,3871247
user30,30,UFPel,0,2100000
user30,30,UFPel,2,11400000
user30,30,UFPel,3,20100006
user31,31,UFSM,4,7500000
user31,31,UFSM,5,26038824
user31,31,UFSM,6,61176
user32,32,IFSul,8,9668506
user32,32,IFSul,9,89980
user32,32,IFSul,10,104582
user32,32,IFSul,11,23737045
user33,33,UFPel,0,3593400
user33,33,UFPel,1,48600
user33,33,UFPel,2,20558000
user33,33,UFPel,3,9400002
user34,34,UFSM,4,23843616
user34,34,UFSM,5,9688306
user34,34,UFSM,6,68078
user35,35,IFSul,8,33515406
user35,35,IFSul,9,84594
user36,36,UFPel,0,28176914
user36,36,UFPel,1,23086
user36,36,UFPel,3,5400000
user37,37,UFSM,4,9600000
user37,37,UFSM,5,14500000
user37,37,UFSM,6,25188
user37,37,UFSM,7,9474865
user38,38,IFSul,8,23543060
user38,38,IFSul,9,1450
user38,38,IFSul,10,141890
user38,38,IFSul,11,9913687
user39,39,UFPel,0,20689206
user39,39,UFPel,1,10794
user39,39,UFPel,2,12900000
user40,40,UFSM,4,29600000
user40,40,UFSM,5,4000000
user41,41,IFSul,8,22229370
user41,41,IFSul,9,103486
user41,41,IFSul,10,155316
user41,41,IFSul,11,11111884
user42,42,UFPel,2,33600000
user43,43,UFSM,4,13700000
user43,43,UFSM,5,12700000
user43,43,UFSM,6,16800
user43,43,UFSM,7,7183200
user44,44,IFSul,8,33436298
user44,44,IFSul,9,157472
user44,44,IFSul,10,6230
user45,45,UFPel,1,65376
user45,45,UFPel,2,33534624
user46,46,UFSM,4,27868514
user46,46,UFSM,6,31486
user46,46,UFSM,7,5700013
user47,47,IFSul,8,24266012
user47,47,IFSul,9,36864
user47,47,IFSul,10,166124
user47,47,IFSul,11,9131008
user48,48,UFPel,0,26083208
user48,48,UFPel,1,37792
user48,48,UFPel,2,7479000
user49,49,UFSM,4,15073012
user49,49,UFSM,6,46180
user49,49,UFSM,7,18480835
user50,50,IFSul,8,14547228
user50,50,IFSul,9,86854
user50,50,IFSul,10,236894
user50,50,IFSul,11,18729134
user51,51,UFPel,1,45000
user51,51,UFPel,2,24255000
user51,51,UFPel,3,9300000
user52,52,UFSM,5,26100000
user52,52,UFSM,7,7500043
user53,53,IFSul,8,29526670
user53,53,IFSul,10,173330
user53,53,IFSul,11,3900014
user54,54,UFPel,0,15200000
user54,54,UFPel,2,5600000
user54,54,UFPel,3,12800000
user55,55,UFSM,5,26100000
user55,55,UFSM,7,7500034
user56,56,IFSul,8,33531664
user56,56,IFSul,9,1192
user56,56,IFSul,10,67144
user57,57,UFPel,0,9400000
user57,57,UFPel,2,18500000
user57,57,UFPel,3,5700002
user58,58,UFSM,4,7300000
user58,58,UFSM,5,20700000
user58,58,UFSM,6,19200
user58,58,UFSM,7,5580829
user59,59,IFSul,8,11548408
user59,59,IFSul,9,51592
user59,59,IFSul,11,22000074
user60,60,UFPel,2,9200000
user60,60,UFPel,3,24400004
user61,61,UFSM,4,33569400
user61,61,UFSM,6,30600
user62,62,IFSul,8,22634010
user62,62,IFSul,9,65990
user62,62,IFSul,11,10900067
user63,63,UFPel,0,9200000
user63,63,UFPel,2,18900000
user63,63,UFPel,3,5500005
user64,64,UFSM,4,13284730
user64,64,UFSM,5,3483800
user64,64,UFSM,6,31470
user65,65,IFSul,8,12231608
user65,65,IFSul,9,1192
user65,65,IFSul,10,83698
user65,65,IFSul,11,4483622
user66,66,UFPel,0,4400000
user66,66,UFPel,2,8700000
user66,66,UFPel,3,3700011
user67,67,UFSM,4,16771850
user67,67,UFSM,6,28150
user68,68,IFSul,8,3864004
user68,68,IFSul,10,158950
user68,68,IFSul,11,12777415
user69,69,UFPel,0,8395200
user69,69,UFPel,1,9600
user69,69,UFPel,2,8395200
user70,70,UFSM,4,3100000
user70,70,UFSM,5,10770302
user70,70,UFSM,6,41694
user70,70,UFSM,7,2888090
user71,71,IFSul,8,9104920
user71,71,IFSul,9,27000
user71,71,IFSul,10,141574
user71,71,IFSul,11,7526634
user72,72,UFPel,0,3600000
user72,72,UFPel,1,15300
user72,72,UFPel,2,7984700
