Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,21139,2415,9099,9987,1201,1389,0,0,0
UFPelH1,1,21506,8827,510,5378,12397,1608,0,0,0
UFPelH2,2,2000,3053,5059,523,2639,3722,13486,14889,3936
UFPelH3,3,8245,223,4313,2451,2899,727,19296,9876,1196
UFSMH4,4,6619,3,4351,1034,4643,15084,4058,0,0
UFSMH5,5,19028,1276,1353,1328,2750,3582,24671,157,0
UFSMH6,6,10179,2374,3376,5993,8500,6369,392,0,0
UFSMH7,7,1000,7960,560,8428,12414,3515,157,1361,0
IFSulH8,8,9867,1769,2573,260,9958,9336,3503,0,0
IFSulH9,9,7223,4112,1341,2999,5228,10216,9231,2139,0
IFSulH10,10,5364,4233,4890,741,21143,5118,0,0,0
IFSulH11,11,7377,1472,4259,13695,3267,2822,0,0,0
BurstH12,12,0,0,0,0,0,0,0,0,0
BurstH13,13,0,0,0,0,0,0,0,0,0
BurstH14,14,0,0,0,0,0,0,0,0,0
BurstH15,15,0,0,0,0,0,0,0,0,0
